ln_ing_lab,lngasfam,nucleo,age_squared,sch,niv_edu_g_Secundaria completa,niv_edu_g_Secundaria incompleta,niv_edu_g_Superior completa,niv_edu_g_Superior incompleta,pobreza_pobre extremo,pobreza_pobre no extremo,jefe_Yes,urban_urbano,ramactsec_Sector Secundario,ramactsec_Sector Terciario,male_Mujer
7.624130725860596,7.683476448059082,1,3136,14,False,False,True,False,False,False,True,True,False,True,False
5.552636623382568,7.683476448059082,1,3364,11,True,False,False,False,False,False,False,True,False,True,True
5.648093700408936,7.683476448059082,1,841,16,False,False,True,False,False,False,False,True,False,True,True
6.110912799835205,7.683476448059082,1,441,11,True,False,False,False,False,False,False,True,False,True,True
6.644440650939941,8.012683868408203,1,1600,16,False,False,True,False,False,False,False,True,False,True,False
8.037704467773438,8.437922477722168,1,4356,16,False,False,True,False,False,False,False,True,False,False,False
6.644440650939941,7.683476448059082,1,3249,12,False,False,False,True,False,False,True,True,False,True,False
6.644440650939941,7.683476448059082,1,3844,16,False,False,True,False,False,False,False,True,False,True,True
7.727535247802734,7.683476448059082,2,900,16,False,False,True,False,False,False,True,True,False,True,True
6.644440650939941,7.683476448059082,3,576,12,False,False,False,True,False,False,True,True,False,True,False
6.018998622894287,7.683476448059082,3,484,13,False,False,False,True,False,False,False,True,False,True,True
6.644440650939941,7.683476448059082,1,3721,16,False,False,True,False,False,False,True,True,False,True,False
6.434585199767968,7.683476448059082,1,2809,11,True,False,False,False,False,False,False,True,False,True,True
5.552636623382568,7.683476448059082,1,576,14,False,False,False,True,False,False,False,True,False,True,True
6.140602588653564,8.061705589294434,1,5041,15,False,False,True,False,False,False,True,True,False,True,False
4.41380786895752,8.061705589294434,1,4900,11,True,False,False,False,False,False,False,True,False,True,True
4.636345863342285,7.965271949768066,0,5184,11,True,False,False,False,False,False,True,True,False,True,True
6.394426345825195,7.965271949768066,1,1156,16,False,False,True,False,False,False,True,True,False,True,False
6.434585199767968,7.965271949768066,1,900,14,False,False,True,False,False,False,False,True,False,True,True
6.430659770965576,8.244604110717773,1,3721,14,False,False,False,True,False,False,True,True,True,False,False
6.644440650939941,8.244604110717773,1,3364,16,False,False,True,False,False,False,False,True,True,False,True
6.939092636108398,8.244604110717773,0,1225,16,False,False,True,False,False,False,True,True,False,True,False
7.973471164703369,7.683476448059082,1,1444,16,False,False,True,False,False,False,True,True,False,True,False
6.644440650939941,7.683476448059082,1,1369,17,False,False,True,False,False,False,False,True,False,True,True
6.644440650939941,8.508986473083496,1,961,17,False,False,True,False,False,False,True,True,False,True,False
7.350034236907959,8.508986473083496,1,1089,16,False,False,True,False,False,False,False,True,False,True,True
6.644440650939941,8.047581672668457,1,3721,15,False,False,False,True,False,False,True,True,False,True,False
6.941431999206543,7.575098991394043,0,676,14,False,False,True,False,False,False,True,True,False,True,False
6.644440650939941,8.286128997802734,1,1156,16,False,False,True,False,False,False,True,True,True,False,False
6.434585199767968,8.286128997802734,1,1089,16,False,False,True,False,False,False,False,True,False,True,True
7.255002498626709,8.461141586303711,1,1936,11,True,False,False,False,False,False,True,True,False,True,False
6.434585199767968,8.461141586303711,1,1849,6,False,False,False,False,False,False,False,True,False,True,True
6.434585199767968,7.677910327911377,1,5929,0,False,False,False,False,False,False,True,True,False,True,True
7.408985137939453,7.683476448059082,1,2116,16,False,False,True,False,False,False,False,True,False,True,True
7.164591312408447,7.683476448059082,1,1936,16,False,False,True,False,False,False,True,True,False,True,False
6.644440650939941,8.038368225097656,1,2116,14,False,False,True,False,False,False,True,True,True,False,False
7.469701766967773,8.253761291503906,1,2116,12,False,False,False,True,False,False,True,True,False,True,False
6.443336009979248,8.253761291503906,1,1764,16,False,False,True,False,False,False,False,True,False,True,True
6.388000965118408,8.253761291503906,1,529,15,False,False,False,True,False,False,False,True,True,False,True
6.699182033538818,7.225700855255127,0,1764,11,True,False,False,False,False,False,True,True,False,True,True
5.664406299591064,7.225700855255127,0,3364,16,False,False,True,False,False,False,True,True,False,True,True
6.747977733612061,7.540215969085693,1,2916,7,False,True,False,False,False,False,True,True,True,False,False
4.599319934844971,7.540215969085693,1,2809,5,False,False,False,False,False,False,False,True,False,True,True
6.679075717926025,7.540215969085693,0,2500,4,False,False,False,False,False,False,True,True,False,True,False
6.20909309387207,7.540215969085693,0,2304,8,False,True,False,False,False,False,True,True,False,True,False
5.031526565551758,7.437217235565186,0,3136,5,False,False,False,False,False,True,True,True,False,True,True
7.162074565887451,7.437217235565186,0,1681,14,False,False,True,False,False,True,True,True,False,True,True
6.642378330230713,7.437217235565186,0,1936,11,True,False,False,False,False,True,True,True,False,False,False
6.644440650939941,7.690746307373047,1,1521,14,False,False,False,True,False,False,True,True,False,True,False
6.516562938690186,7.690746307373047,1,1444,16,False,False,True,False,False,False,False,True,False,True,True
6.930087566375732,7.773783206939697,1,2916,11,True,False,False,False,False,False,True,True,False,True,False
6.871609687805176,7.773783206939697,1,2500,5,False,False,False,False,False,False,False,True,False,True,True
6.436951160430908,8.415709495544434,1,3364,14,False,False,True,False,False,False,True,True,False,True,True
7.489970684051514,8.415709495544434,1,1156,14,False,False,True,False,False,False,False,True,True,False,False
6.391358852386475,8.415709495544434,1,484,13,False,False,False,True,False,False,False,True,False,True,False
6.968193260751402,8.415709495544434,2,1296,14,False,False,True,False,False,False,False,True,False,True,True
6.747782230377197,8.415709495544434,2,1024,11,True,False,False,False,False,False,True,True,True,False,False
7.595345497131348,8.415709495544434,3,1024,11,True,False,False,False,False,False,True,True,False,True,False
6.948097229003906,7.320823669433594,1,4900,14,False,False,True,False,False,False,True,True,False,True,False
6.085827350616455,7.320823669433594,1,4225,14,False,False,True,False,False,False,False,True,False,True,True
